AHUT-SC	 38.27	 21.52	 11.62	 5.18	 1.72	 3.06	 3.73	 2.5	 3.33	 3.29	 2.5	 3.26	 1.42	 0
ALLTeams	 34.55	 21.88	 9.96	 5.2	 4.88	 5.03	 3.73	 2.92	 3.05	 1.95	 2.5	 2.14	 0.46	 0
AHUT-SC	 18.04	 11.71	 19.13	 12.12	 7.43	 10.9	 5.01	 3.05	 2.95	 1.86	 2.17	 1.47	 1.42	 1
ALLTeams	 23.1	 17.33	 6.27	 14.35	 3.49	 6.96	 5.01	 4.39	 1.93	 5.9	 2.17	 4.08	 0.46	 1
AHUT-SC	 34.2	 19.48	 10.15	 5.55	 4.4	 4.52	 3.72	 3.19	 3.35	 4.07	 3.68	 3.69	 1.42	 2
ALLTeams	 34.48	 18.55	 10.31	 5.91	 4.52	 4.56	 3.72	 4.19	 3.84	 3.21	 3.68	 3.18	 0.46	 2
AHUT-SC	 25.96	 17.85	 10.15	 7.25	 6.04	 6.14	 4.78	 4.92	 3.76	 5.48	 3.92	 3.73	 1.42	 3
ALLTeams	 31.58	 18.21	 11.65	 7.49	 5.3	 5.7	 4.78	 3.01	 3.55	 2.67	 3.92	 2.78	 0.46	 3
AHUT-SC	 35.36	 18.17	 9.64	 6.12	 4.55	 4.67	 4.29	 4.38	 2.86	 2.62	 3.24	 4.08	 1.42	 4
ALLTeams	 29.99	 14.92	 11.03	 7.93	 5.04	 8.27	 4.29	 3.64	 4.02	 3.55	 3.24	 2.12	 0.46	 4
AHUT-SC	 32.01	 17.5	 10.46	 6.4	 5.57	 4.89	 5.08	 4.34	 2.47	 3.77	 3.69	 3.82	 1.42	 5
ALLTeams	 22.23	 14.72	 9.08	 7.03	 8.74	 8.63	 5.08	 5.32	 4.09	 3.68	 3.69	 4.59	 0.46	 5
AHUT-SC	 29.46	 13.68	 6.61	 9.03	 2.99	 1.04	 5.87	 2.28	 4.98	 12.03	 3.24	 4.63	 1.42	 6
ALLTeams	 31.82	 10.98	 7.83	 15.41	 5.98	 0.52	 5.87	 2.78	 0.69	 4.95	 3.24	 2.05	 0.46	 6
AHUT-SC	 36.15	 17.18	 4.19	 11.1	 5.46	 3.0	 3.51	 3.79	 6.08	 2.87	 3.7	 2.98	 1.42	 7
ALLTeams	 35.46	 16.5	 9.7	 3.06	 2.72	 2.29	 3.51	 7.41	 4.61	 5.76	 3.7	 2.38	 0.46	 7
AHUT-SC	 34.05	 23.17	 13.41	 6.16	 2.9	 2.56	 1.08	 0.0	 7.24	 2.15	 3.64	 3.64	 1.0	 0
CYRUS2018	 42.76	 12.2	 10.41	 5.16	 6.85	 10.81	 1.08	 0.79	 0.0	 3.77	 3.64	 2.88	 0.67	 0
AHUT-SC	 11.11	 13.89	 33.33	 16.67	 5.56	 5.56	 13.89	 0.0	 0.0	 0.0	 0.0	 0.0	 1.0	 1
CYRUS2018	 0.0	 8.34	 20.84	 8.34	 8.34	 0.0	 13.89	 0.0	 0.0	 8.34	 0.0	 12.5	 0.67	 1
AHUT-SC	 35.01	 20.19	 9.09	 6.69	 4.18	 4.72	 4.96	 2.24	 3.14	 4.26	 2.45	 3.07	 1.0	 2
CYRUS2018	 24.87	 21.09	 15.65	 7.04	 9.21	 5.21	 4.96	 3.93	 2.17	 3.34	 2.45	 3.6	 0.67	 2
AHUT-SC	 22.65	 19.95	 10.24	 9.63	 7.6	 4.73	 5.21	 4.07	 3.24	 3.88	 5.24	 3.54	 1.0	 3
CYRUS2018	 24.05	 19.51	 13.66	 8.5	 8.95	 6.84	 5.21	 2.44	 2.67	 1.16	 5.24	 2.56	 0.67	 3
AHUT-SC	 40.87	 16.5	 11.48	 5.7	 4.7	 5.92	 2.17	 3.55	 3.04	 2.7	 2.16	 1.21	 1.0	 4
CYRUS2018	 24.05	 9.88	 16.19	 11.9	 5.42	 11.49	 2.17	 4.05	 2.38	 1.19	 2.16	 3.27	 0.67	 4
AHUT-SC	 38.39	 18.87	 7.85	 7.05	 4.75	 6.11	 3.9	 3.24	 2.29	 3.2	 2.72	 1.59	 1.0	 5
CYRUS2018	 32.51	 17.72	 5.42	 7.51	 4.13	 5.26	 3.9	 6.88	 0.0	 4.32	 2.72	 1.75	 0.67	 5
AHUT-SC	 50.0	 0.0	 0.0	 0.0	 12.5	 0.0	 0.0	 0.0	 0.0	 0.0	 12.5	 25.0	 1.0	 6
CYRUS2018	 0.0	 0.0	 0.0	 50.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 12.5	 0.0	 0.67	 6
AHUT-SC	 39.42	 6.62	 0.0	 17.73	 11.11	 8.47	 7.41	 0.0	 5.56	 1.85	 1.85	 0.0	 1.0	 7
CYRUS2018	 45.84	 12.5	 29.16	 0.0	 0.0	 0.0	 7.41	 0.0	 0.0	 0.0	 1.85	 0.0	 0.67	 7
AHUT-SC	 35.71	 22.32	 14.88	 7.44	 0.0	 3.27	 5.65	 1.19	 0.0	 4.17	 3.27	 2.08	 1.33	 0
CYRUS2019	 35.18	 26.04	 14.27	 6.15	 5.14	 4.94	 5.65	 0.5	 1.38	 1.53	 3.27	 1.15	 0.33	 0
AHUT-SC	 30.0	 21.67	 6.67	 6.67	 13.33	 3.33	 8.33	 6.67	 0.0	 3.33	 0.0	 0.0	 1.33	 1
CYRUS2019	 25.39	 30.51	 5.9	 5.9	 8.46	 11.02	 8.33	 0.0	 5.13	 0.0	 0.0	 2.56	 0.33	 1
AHUT-SC	 30.93	 22.0	 10.2	 7.18	 2.56	 3.04	 4.19	 1.95	 4.54	 3.67	 4.52	 5.23	 1.33	 2
CYRUS2019	 28.65	 20.58	 12.53	 8.99	 3.73	 4.06	 4.19	 4.37	 2.99	 1.99	 4.52	 4.06	 0.33	 2
AHUT-SC	 27.41	 17.21	 8.71	 5.26	 6.27	 5.24	 3.84	 4.89	 2.79	 7.81	 6.71	 3.86	 1.33	 3
CYRUS2019	 31.97	 26.31	 14.82	 6.16	 4.41	 3.24	 3.84	 2.04	 2.03	 0.92	 6.71	 1.59	 0.33	 3
AHUT-SC	 40.94	 15.6	 6.91	 7.04	 4.59	 5.44	 4.18	 3.33	 2.4	 3.74	 2.11	 3.71	 1.33	 4
CYRUS2019	 26.11	 18.05	 8.53	 8.25	 2.78	 8.06	 4.18	 0.0	 8.06	 1.39	 2.11	 1.59	 0.33	 4
AHUT-SC	 38.91	 20.16	 10.41	 3.54	 3.46	 6.38	 4.73	 3.54	 1.61	 4.28	 1.05	 1.92	 1.33	 5
CYRUS2019	 19.32	 15.62	 11.91	 7.25	 4.22	 12.95	 4.73	 5.84	 3.4	 1.55	 1.05	 3.4	 0.33	 5
AHUT-SC	 52.22	 11.11	 6.67	 0.0	 6.67	 0.0	 6.67	 0.0	 0.0	 16.67	 0.0	 0.0	 1.33	 6
CYRUS2019	 50.0	 0.0	 0.0	 50.0	 0.0	 0.0	 6.67	 0.0	 0.0	 0.0	 0.0	 0.0	 0.33	 6
AHUT-SC	 47.41	 10.74	 6.67	 7.04	 7.04	 0.0	 3.33	 10.37	 3.7	 0.0	 0.0	 3.7	 1.33	 7
CYRUS2019	 16.66	 30.0	 0.0	 0.0	 0.0	 0.0	 3.33	 16.66	 0.0	 10.0	 0.0	 16.66	 0.33	 7
AHUT-SC	 41.02	 20.76	 9.69	 2.96	 0.8	 0.8	 4.78	 6.26	 5.58	 2.37	 1.2	 3.76	 1.0	 0
Fractals2019	 24.21	 28.77	 9.72	 13.1	 4.17	 4.17	 4.78	 0.0	 4.76	 0.0	 1.2	 5.56	 0.0	 0
AHUT-SC	 16.5	 3.03	 16.5	 7.41	 3.03	 7.41	 3.03	 0.0	 3.03	 0.0	 0.0	 6.73	 1.0	 1
