AHUT-SC	 0.0	 7.59	 8.29	 15.85	 15.53	 19.39	 18.35	 15.01	 1.42	 0
ALLTeams	 0.0	 13.71	 9.42	 9.09	 11.96	 17.67	 18.35	 20.44	 0.46	 0
AHUT-SC	 0.0	 4.55	 9.77	 13.73	 14.34	 22.95	 11.98	 18.5	 1.42	 1
ALLTeams	 0.0	 13.78	 8.77	 6.88	 12.96	 14.95	 11.98	 21.56	 0.46	 1
AHUT-SC	 0.0	 10.04	 10.88	 18.47	 17.2	 16.47	 14.68	 12.26	 1.42	 2
ALLTeams	 0.0	 11.85	 8.55	 9.79	 15.35	 19.27	 14.68	 15.48	 0.46	 2
AHUT-SC	 0.0	 12.47	 10.86	 15.11	 14.69	 16.1	 15.4	 15.38	 1.42	 3
ALLTeams	 0.0	 12.14	 10.63	 11.91	 12.44	 17.78	 15.4	 17.51	 0.46	 3
AHUT-SC	 0.0	 16.08	 11.43	 14.72	 15.78	 14.22	 13.58	 14.18	 1.42	 4
ALLTeams	 0.0	 16.3	 10.48	 13.13	 12.9	 15.91	 13.58	 15.09	 0.46	 4
AHUT-SC	 0.0	 15.75	 12.07	 15.0	 16.23	 14.35	 13.24	 13.35	 1.42	 5
ALLTeams	 0.0	 13.67	 12.89	 15.18	 13.85	 16.26	 13.24	 14.93	 0.46	 5
AHUT-SC	 0.0	 23.85	 18.51	 12.16	 12.34	 7.5	 17.01	 4.46	 1.42	 6
ALLTeams	 0.0	 23.78	 8.97	 18.42	 4.53	 10.18	 17.01	 20.81	 0.46	 6
AHUT-SC	 0.0	 36.09	 13.79	 10.7	 13.59	 10.57	 6.17	 9.1	 1.42	 7
ALLTeams	 0.0	 25.51	 11.3	 11.12	 10.56	 14.57	 6.17	 11.26	 0.46	 7
AHUT-SC	 0.0	 7.99	 8.31	 16.96	 15.31	 15.6	 16.3	 19.53	 1.0	 0
CYRUS2018	 0.0	 13.59	 5.45	 10.12	 8.83	 20.04	 16.3	 19.44	 0.67	 0
AHUT-SC	 0.0	 0.0	 13.89	 11.11	 16.67	 22.22	 19.45	 16.67	 1.0	 1
CYRUS2018	 0.0	 37.5	 8.34	 0.0	 16.66	 12.5	 19.45	 12.5	 0.67	 1
AHUT-SC	 0.0	 12.55	 11.86	 16.62	 16.64	 14.34	 14.93	 13.07	 1.0	 2
CYRUS2018	 0.0	 16.34	 9.42	 11.13	 13.59	 19.82	 14.93	 12.04	 0.67	 2
AHUT-SC	 0.0	 7.0	 10.64	 17.15	 14.81	 17.12	 16.13	 17.14	 1.0	 3
CYRUS2018	 0.0	 16.69	 11.41	 14.29	 12.55	 16.65	 16.13	 15.17	 0.67	 3
AHUT-SC	 0.0	 12.46	 10.11	 13.68	 15.08	 13.35	 14.78	 20.54	 1.0	 4
CYRUS2018	 0.0	 29.64	 15.6	 10.95	 15.83	 10.3	 14.78	 9.76	 0.67	 4
AHUT-SC	 0.0	 12.44	 9.52	 13.67	 16.31	 15.02	 16.84	 16.21	 1.0	 5
CYRUS2018	 0.0	 14.52	 8.61	 23.13	 8.61	 15.78	 16.84	 19.61	 0.67	 5
AHUT-SC	 0.0	 25.0	 62.5	 12.5	 0.0	 0.0	 0.0	 0.0	 1.0	 6
CYRUS2018	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 50.0	 0.67	 6
AHUT-SC	 0.0	 27.25	 12.96	 10.32	 8.47	 18.52	 12.17	 10.32	 1.0	 7
CYRUS2018	 0.0	 29.16	 41.66	 0.0	 0.0	 16.66	 12.17	 12.5	 0.67	 7
AHUT-SC	 0.0	 8.63	 7.74	 16.37	 14.29	 26.79	 17.26	 8.93	 1.33	 0
CYRUS2019	 0.0	 7.11	 2.97	 4.79	 12.65	 20.47	 17.26	 25.75	 0.33	 0
AHUT-SC	 0.0	 3.33	 6.67	 25.0	 33.33	 11.67	 6.67	 13.33	 1.33	 1
CYRUS2019	 0.0	 14.36	 10.26	 3.33	 11.02	 11.79	 6.67	 18.72	 0.33	 1
AHUT-SC	 0.0	 8.68	 11.02	 23.65	 15.83	 18.33	 10.47	 12.01	 1.33	 2
CYRUS2019	 0.0	 14.97	 7.59	 7.56	 10.06	 19.24	 10.47	 18.23	 0.33	 2
AHUT-SC	 0.0	 9.47	 9.86	 15.81	 14.94	 14.7	 17.56	 17.65	 1.33	 3
CYRUS2019	 0.0	 10.49	 5.81	 7.56	 13.04	 17.57	 17.56	 21.59	 0.33	 3
AHUT-SC	 0.0	 14.37	 6.99	 16.56	 13.53	 16.44	 16.04	 16.06	 1.33	 4
CYRUS2019	 0.0	 19.09	 8.25	 17.5	 13.29	 10.32	 16.04	 10.52	 0.33	 4
AHUT-SC	 0.0	 13.01	 10.87	 13.26	 14.94	 15.51	 15.52	 16.88	 1.33	 5
CYRUS2019	 0.0	 18.06	 12.81	 14.36	 17.54	 9.62	 15.52	 17.9	 0.33	 5
AHUT-SC	 0.0	 13.33	 6.67	 17.78	 6.67	 16.67	 27.78	 11.11	 1.33	 6
CYRUS2019	 0.0	 50.0	 0.0	 50.0	 0.0	 0.0	 27.78	 0.0	 0.33	 6
AHUT-SC	 0.0	 41.67	 22.41	 3.7	 10.74	 10.74	 3.33	 7.41	 1.33	 7
CYRUS2019	 0.0	 43.34	 0.0	 10.0	 10.0	 16.66	 3.33	 0.0	 0.33	 7
AHUT-SC	 0.0	 6.6	 9.96	 19.01	 16.13	 14.22	 20.85	 13.24	 1.0	 0
Fractals2019	 0.0	 5.56	 9.72	 0.0	 11.11	 30.95	 20.85	 32.34	 0.0	 0
AHUT-SC	 0.0	 3.7	 6.73	 3.7	 13.47	 16.5	 13.47	 9.09	 1.0	 1
Fractals2019	 0.0	 0.0	 0.0	 6.67	 16.67	 23.33	 13.47	 6.67	 0.0	 1
AHUT-SC	 0.0	 10.36	 12.53	 16.45	 18.2	 18.21	 13.14	 11.13	 1.0	 2
Fractals2019	 0.0	 13.61	 3.98	 6.94	 21.09	 16.19	 13.14	 18.02	 0.0	 2
AHUT-SC	 0.0	 10.95	 11.24	 16.95	 13.49	 15.91	 14.59	 16.86	 1.0	 3
Fractals2019	 0.0	 9.32	 10.99	 11.67	 11.46	 20.75	 14.59	 16.68	 0.0	 3
AHUT-SC	 0.0	 19.64	 11.95	 13.64	 19.8	 14.33	 12.29	 8.35	 1.0	 4
Fractals2019	 0.0	 11.36	 8.8	 6.96	 17.71	 16.87	 12.29	 23.22	 0.0	 4
AHUT-SC	 0.0	 19.11	 12.99	 14.18	 15.08	 16.22	 12.54	 9.87	 1.0	 5
Fractals2019	 0.0	 6.06	 9.57	 13.89	 14.7	 14.71	 12.54	 24.61	 0.0	 5
AHUT-SC	 0.0	 5.0	 10.0	 5.0	 36.66	 10.0	 16.66	 16.66	 1.0	 6
Fractals2019	 0.0	 23.33	 6.67	 0.0	 0.0	 8.33	 16.66	 46.67	 0.0	 6
AHUT-SC	 0.0	 41.66	 2.78	 9.26	 22.22	 13.89	 3.7	 6.48	 1.0	 7
Fractals2019	 0.0	 8.33	 33.33	 0.0	 16.67	 33.33	 3.7	 8.33	 0.0	 7
AHUT-SC	 0.0	 4.51	 5.96	 21.34	 8.49	 20.65	 24.49	 14.56	 0.0	 0
HELIOS2018	 0.0	 11.14	 14.59	 14.47	 11.79	 17.1	 24.49	 12.92	 1.67	 0
AHUT-SC	 0.0	 0.0	 15.0	 40.0	 10.83	 12.5	 17.5	 4.17	 0.0	 1
HELIOS2018	 0.0	 16.67	 2.78	 9.44	 15.0	 25.56	 17.5	 25.0	 1.67	 1
AHUT-SC	 0.0	 9.15	 9.0	 14.58	 21.48	 15.81	 16.4	 13.58	 0.0	 2
HELIOS2018	 0.0	 14.4	 13.21	 12.31	 15.91	 21.5	 16.4	 9.08	 1.67	 2
AHUT-SC	 0.0	 12.56	 18.84	 9.67	 13.99	 17.58	 15.6	 11.76	 0.0	 3
HELIOS2018	 0.0	 20.02	 15.98	 13.57	 14.16	 16.52	 15.6	 9.12	 1.67	 3
AHUT-SC	 0.0	 16.86	 12.37	 16.79	 19.39	 11.57	 10.11	 12.92	 0.0	 4
HELIOS2018	 0.0	 12.83	 14.69	 21.14	 8.46	 14.94	 10.11	 6.85	 1.67	 4
AHUT-SC	 0.0	 16.73	 13.16	 17.69	 17.01	 12.01	 10.35	 13.05	 0.0	 5
HELIOS2018	 0.0	 15.55	 21.47	 16.3	 13.6	 12.81	 10.35	 6.94	 1.67	 5
AHUT-SC	 0.0	 16.67	 0.0	 0.0	 0.0	 16.67	 33.33	 0.0	 0.0	 6
HELIOS2018	 0.0	 20.83	 13.89	 31.94	 0.0	 4.17	 33.33	 25.0	 1.67	 6
AHUT-SC	 0.0	 29.17	 18.46	 12.93	 12.93	 8.83	 9.97	 7.69	 0.0	 7
HELIOS2018	 0.0	 22.22	 0.0	 11.11	 11.11	 11.11	 9.97	 0.0	 1.67	 7
AHUT-SC	 0.0	 7.07	 10.33	 6.82	 15.82	 16.85	 19.97	 23.13	 0.33	 0
HELIOS2019	 0.0	 19.0	 11.26	 9.23	 11.56	 7.89	 19.97	 24.75	 0.33	 0
AHUT-SC	 0.0	 5.0	 7.38	 8.1	 10.48	 47.14	 13.81	 8.1	 0.33	 1
HELIOS2019	 0.0	 4.17	 23.4	 5.13	 16.03	 22.76	 13.81	 21.79	 0.33	 1
AHUT-SC	 0.0	 11.05	 9.08	 18.85	 18.47	 14.32	 16.14	 12.08	 0.33	 2
HELIOS2019	 0.0	 11.19	 10.65	 11.67	 16.31	 15.31	 16.14	 15.52	 0.33	 2
