CYRUS2018	 42.0	 11.0	 30.0	 18.0	 0.0	 90.48	 9.52	 19.05	 28.57	 52.38	 0.0
AHUT-SC	 31.0	 11.0	 21.0	 12.0	 0.0	 74.19	 25.81	 16.13	 41.94	 41.94	 2.0
CYRUS2018	 14.0	 7.0	 8.0	 8.0	 0.0	 92.86	 7.14	 21.43	 57.14	 21.43	 0.0
AHUT-SC	 23.0	 5.0	 17.0	 9.0	 0.0	 95.65	 4.35	 17.39	 47.83	 34.78	 1.0
CYRUS2018	 48.0	 15.0	 27.0	 25.0	 1.0	 81.25	 18.75	 16.67	 31.25	 52.08	 2.0
AHUT-SC	 13.0	 3.0	 8.0	 7.0	 0.0	 76.92	 23.08	 15.38	 53.85	 30.77	 0.0
CYRUS2019	 87.0	 17.0	 67.0	 52.0	 0.0	 87.36	 12.64	 6.9	 31.03	 62.07	 1.0
AHUT-SC	 16.0	 3.0	 10.0	 6.0	 1.0	 87.5	 12.5	 25.0	 50.0	 25.0	 2.0
CYRUS2019	 67.0	 13.0	 50.0	 26.0	 2.0	 92.54	 7.46	 7.46	 47.76	 44.78	 0.0
AHUT-SC	 28.0	 5.0	 22.0	 12.0	 0.0	 82.14	 17.86	 17.86	 53.57	 28.57	 0.0
CYRUS2019	 63.0	 23.0	 36.0	 25.0	 2.0	 95.24	 4.76	 15.87	 34.92	 49.21	 0.0
AHUT-SC	 16.0	 4.0	 11.0	 4.0	 0.0	 81.25	 18.75	 6.25	 68.75	 25.0	 2.0
Fractals2019	 7.0	 1.0	 5.0	 3.0	 1.0	 85.71	 14.29	 0.0	 42.86	 57.14	 0.0
AHUT-SC	 27.0	 9.0	 18.0	 19.0	 2.0	 81.48	 18.52	 11.11	 33.33	 55.56	 0.0
Fractals2019	 8.0	 1.0	 5.0	 3.0	 0.0	 100.0	 0.0	 12.5	 50.0	 37.5	 0.0
AHUT-SC	 57.0	 12.0	 46.0	 16.0	 2.0	 71.93	 28.07	 19.3	 50.88	 29.82	 1.0
Fractals2019	 6.0	 3.0	 3.0	 1.0	 0.0	 66.67	 33.33	 33.33	 33.33	 33.33	 0.0
AHUT-SC	 83.0	 23.0	 62.0	 33.0	 1.0	 74.7	 25.3	 19.28	 63.86	 16.87	 2.0
HELIOS2018	 20.0	 5.0	 15.0	 4.0	 0.0	 80.0	 20.0	 30.0	 30.0	 40.0	 2.0
AHUT-SC	 21.0	 6.0	 15.0	 8.0	 1.0	 80.95	 19.05	 19.05	 47.62	 33.33	 0.0
