YuShan2020	44.00	11.00	29.00	17.00	2.00	79.55	20.45	13.64	56.82	29.55	2
AHUT-SC	40.00	14.00	24.00	16.00	0.00	80.00	20.00	15.00	57.50	27.50	2
YuShan2020	49.00	11.00	37.00	14.00	2.00	77.55	22.45	20.41	40.82	38.78	0
AHUT-SC	77.00	21.00	51.00	52.00	2.00	79.22	20.78	19.48	50.65	29.87	1
YuShan2017	1.00	0.00	0.00	0.00	0.00	0.00	100.00	100.00	0.00	0.00	0
AHUT-SC	80.00	25.00	48.00	22.00	4.00	77.50	22.50	22.50	55.00	22.50	6
YuShan2017	21.00	2.00	17.00	4.00	3.00	100.00	0.00	19.05	38.10	42.86	0
AHUT-SC	99.00	28.00	69.00	45.00	5.00	84.85	15.15	14.14	56.57	29.29	1
HELIOS2019	32.00	8.00	22.00	7.00	3.00	84.38	15.62	31.25	31.25	37.50	0
AHUT-SC	38.00	7.00	28.00	16.00	2.00	84.21	15.79	18.42	28.95	52.63	1
HELIOS2019	42.00	5.00	34.00	3.00	2.00	85.71	14.29	16.67	40.48	42.86	1
AHUT-SC	30.00	9.00	18.00	10.00	4.00	80.00	20.00	26.67	46.67	26.67	0
HELIOS2018	20.00	5.00	15.00	4.00	0.00	80.00	20.00	30.00	30.00	40.00	2
AHUT-SC	21.00	6.00	15.00	8.00	1.00	80.95	19.05	19.05	47.62	33.33	0
CYRUS2019	87.00	17.00	67.00	52.00	0.00	87.36	12.64	6.90	31.03	62.07	1
AHUT-SC	16.00	3.00	10.00	6.00	1.00	87.50	12.50	25.00	50.00	25.00	2
CYRUS2019	67.00	13.00	50.00	26.00	2.00	92.54	7.46	7.46	47.76	44.78	0
AHUT-SC	28.00	5.00	22.00	12.00	0.00	82.14	17.86	17.86	53.57	28.57	0
CYRUS2018	42.00	11.00	30.00	18.00	0.00	90.48	9.52	19.05	28.57	52.38	0
AHUT-SC	31.00	11.00	21.00	12.00	0.00	74.19	25.81	16.13	41.94	41.94	2
AHUT-SC	63.00	18.00	43.00	34.00	3.00	82.54	17.46	12.70	49.21	38.10	2
YuShan2020	39.00	6.00	33.00	14.00	0.00	79.49	20.51	17.95	33.33	48.72	0
AHUT-SC	103.00	32.00	66.00	46.00	2.00	78.64	21.36	19.42	55.34	25.24	4
YuShan2017	14.00	1.00	11.00	1.00	2.00	78.57	21.43	21.43	57.14	21.43	0
AHUT-SC	93.00	22.00	73.00	33.00	1.00	79.57	20.43	17.20	44.09	38.71	2
MT2018SJB	50.00	13.00	35.00	14.00	1.00	86.00	14.00	14.00	34.00	52.00	0
AHUT-SC	81.00	14.00	63.00	28.00	2.00	81.48	18.52	14.81	64.20	20.99	1
MT2018SJB	54.00	8.00	44.00	24.00	1.00	83.33	16.67	25.93	35.19	38.89	0
AHUT-SC	83.00	16.00	67.00	34.00	3.00	81.93	18.07	14.46	51.81	33.73	4
MT2018SJB	28.00	10.00	17.00	13.00	0.00	89.29	10.71	21.43	60.71	17.86	0
AHUT-SC	14.00	3.00	9.00	8.00	0.00	85.71	14.29	7.14	42.86	50.00	0
HELIOS2019	7.00	4.00	2.00	5.00	1.00	85.71	14.29	42.86	14.29	42.86	0
AHUT-SC	23.00	1.00	19.00	33.00	3.00	82.61	17.39	4.35	47.83	47.83	0
HELIOS2018	43.00	11.00	32.00	13.00	0.00	86.05	13.95	18.60	46.51	34.88	2
AHUT-SC	25.00	2.00	22.00	7.00	1.00	88.00	12.00	8.00	56.00	36.00	0
HELIOS2018	28.00	8.00	14.00	8.00	3.00	67.86	32.14	28.57	53.57	17.86	1
AHUT-SC	27.00	9.00	18.00	19.00	2.00	81.48	18.52	11.11	33.33	55.56	0
Fractals2019	7.00	1.00	5.00	3.00	1.00	85.71	14.29	0.00	42.86	57.14	0
AHUT-SC	57.00	12.00	46.00	16.00	2.00	71.93	28.07	19.30	50.88	29.82	1
Fractals2019	8.00	1.00	5.00	3.00	0.00	100.00	0.00	12.50	50.00	37.50	0
AHUT-SC	83.00	23.00	62.00	33.00	1.00	74.70	25.30	19.28	63.86	16.87	2
Fractals2019	6.00	3.00	3.00	1.00	0.00	66.67	33.33	33.33	33.33	33.33	0
AHUT-SC	16.00	4.00	11.00	4.00	0.00	81.25	18.75	6.25	68.75	25.00	2
CYRUS2019	63.00	23.00	36.00	25.00	2.00	95.24	4.76	15.87	34.92	49.21	0
AHUT-SC	23.00	5.00	17.00	9.00	0.00	95.65	4.35	17.39	47.83	34.78	1
CYRUS2018	14.00	7.00	8.00	8.00	0.00	92.86	7.14	21.43	57.14	21.43	0
AHUT-SC	13.00	3.00	8.00	7.00	0.00	76.92	23.08	15.38	53.85	30.77	0
CYRUS2018	48.00	15.00	27.00	25.00	1.00	81.25	18.75	16.67	31.25	52.08	2
