YuShan2020	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	50.00	0.00	2
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	50.00	0.00	0.00	2
YuShan2020	33.33	16.67	16.67	0.00	16.67	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1
YuShan2017	42.86	14.29	0.00	0.00	14.29	0.00	14.29	0.00	0.00	14.29	0.00	0.00	0
AHUT-SC	33.33	0.00	11.11	0.00	0.00	0.00	0.00	11.11	11.11	11.11	11.11	11.11	6
YuShan2017	28.57	28.57	14.29	14.29	0.00	0.00	0.00	0.00	0.00	14.29	0.00	0.00	0
AHUT-SC	33.33	33.33	0.00	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1
HELIOS2019	66.67	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	66.67	16.67	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0.00	0.00	0.00	1
HELIOS2019	22.22	22.22	11.11	22.22	0.00	0.00	11.11	0.00	0.00	11.11	0.00	0.00	1
AHUT-SC	33.33	0.00	0.00	33.33	0.00	0.00	0.00	0.00	33.33	0.00	0.00	0.00	0
HELIOS2018	16.67	16.67	0.00	16.67	0.00	0.00	16.67	0.00	16.67	0.00	0.00	16.67	2
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
CYRUS2019	50.00	0.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1
AHUT-SC	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	2
CYRUS2019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	66.67	33.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
CYRUS2018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2
YuShan2020	62.50	12.50	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0.00	0.00	12.50	0
AHUT-SC	0.00	75.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	4
YuShan2017	33.33	0.00	33.33	16.67	0.00	0.00	0.00	0.00	0.00	16.67	0.00	0.00	0
AHUT-SC	75.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	2
MT2018SJB	0.00	0.00	50.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	25.00	25.00	0.00	0.00	0.00	0.00	0.00	0.00	25.00	25.00	0.00	0.00	1
MT2018SJB	50.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	28.57	0.00	0.00	0.00	14.29	0.00	14.29	28.57	0.00	0.00	14.29	0.00	4
MT2018SJB	50.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	25.00	50.00	12.50	0.00	0.00	0.00	0.00	0.00	0.00	12.50	0.00	0.00	0
HELIOS2019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0
AHUT-SC	50.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
HELIOS2018	37.50	12.50	12.50	0.00	12.50	12.50	0.00	0.00	0.00	12.50	0.00	0.00	2
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0
HELIOS2018	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	0.00	0.00	1
AHUT-SC	20.00	30.00	10.00	0.00	0.00	0.00	10.00	10.00	0.00	10.00	10.00	0.00	0
Fractals2019	50.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	33.33	33.33	0.00	0.00	0.00	0.00	0.00	33.33	0.00	0.00	0.00	1
Fractals2019	20.00	40.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	20.00	0
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2
Fractals2019	50.00	0.00	0.00	0.00	50.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	40.00	0.00	20.00	0.00	20.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	2
CYRUS2019	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1
CYRUS2018	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0
AHUT-SC	0.00	0.00	0.00	0.00	25.00	0.00	0.00	0.00	0.00	0.00	25.00	50.00	0
CYRUS2018	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2
