YuShan2020	0.00	9.58	8.38	19.76	19.16	10.78	19.76	12.57	2
AHUT-SC	0.00	9.85	11.82	20.20	14.78	16.75	18.23	8.37	2
YuShan2020	0.00	15.31	8.16	9.18	19.39	21.43	11.22	15.31	0
AHUT-SC	0.00	9.09	11.46	20.95	17.39	18.18	9.49	13.44	1
YuShan2017	0.00	0.00	8.33	0.00	16.67	50.00	25.00	0.00	0
AHUT-SC	0.00	11.43	11.43	20.00	15.71	20.00	15.71	5.71	6
YuShan2017	0.00	4.17	4.17	2.08	8.33	22.92	37.50	20.83	0
AHUT-SC	0.00	11.82	12.73	17.27	12.73	16.36	19.09	10.00	1
HELIOS2019	0.00	7.32	12.20	12.20	15.85	21.95	15.85	14.63	0
AHUT-SC	0.00	10.71	5.36	16.07	17.86	14.29	12.50	23.21	1
HELIOS2019	0.00	13.74	8.40	11.45	18.32	13.74	20.61	13.74	1
AHUT-SC	0.00	8.08	13.13	24.24	18.18	16.16	17.17	3.03	0
HELIOS2018	0.00	16.26	14.63	13.01	15.45	21.14	9.76	9.76	2
AHUT-SC	0.00	7.14	9.52	13.10	15.48	21.43	17.86	15.48	0
CYRUS2019	0.00	13.27	8.16	5.10	12.24	17.35	24.49	19.39	1
AHUT-SC	0.00	8.89	11.11	31.11	11.11	17.78	11.11	8.89	2
CYRUS2019	0.00	21.05	2.11	3.16	7.37	22.11	25.26	18.95	0
AHUT-SC	0.00	5.74	12.30	19.67	18.85	19.67	10.66	13.11	0
CYRUS2018	0.00	13.28	14.06	8.59	10.94	17.19	17.19	18.75	0
AHUT-SC	0.00	13.33	12.50	23.33	14.17	13.33	10.83	12.50	2
AHUT-SC	0.00	9.57	11.70	16.49	13.83	12.23	20.21	15.96	2
YuShan2020	0.00	11.03	11.76	13.97	16.18	13.97	12.50	20.59	0
AHUT-SC	0.00	8.70	10.14	29.71	10.87	19.57	14.49	6.52	4
YuShan2017	0.00	0.00	15.00	10.00	10.00	25.00	20.00	20.00	0
AHUT-SC	0.00	5.71	7.86	11.43	17.86	12.86	19.29	25.00	2
MT2018SJB	0.00	14.14	1.01	8.08	11.11	9.09	17.17	39.39	0
AHUT-SC	0.00	13.98	7.53	18.28	20.43	17.20	10.75	11.83	1
MT2018SJB	0.00	9.90	4.95	10.89	13.86	20.79	27.72	11.88	0
AHUT-SC	0.00	5.36	16.07	18.45	17.26	19.05	11.90	11.90	4
MT2018SJB	0.00	8.77	8.77	12.28	22.81	12.28	22.81	12.28	0
AHUT-SC	0.00	14.37	8.75	16.25	19.38	12.50	18.75	10.00	0
HELIOS2019	0.00	12.50	11.36	11.36	14.77	10.23	21.59	18.18	0
AHUT-SC	0.00	9.21	5.26	18.42	28.95	17.11	15.79	5.26	0
HELIOS2018	0.00	17.11	12.50	10.53	17.11	21.05	13.16	8.55	2
AHUT-SC	0.00	11.11	12.22	12.22	20.00	8.89	15.56	20.00	0
HELIOS2018	0.00	9.82	12.50	13.39	15.18	22.32	17.86	8.93	1
AHUT-SC	0.00	11.66	11.04	15.95	17.79	15.34	12.27	15.95	0
Fractals2019	0.00	22.86	2.86	0.00	20.00	17.14	17.14	20.00	0
AHUT-SC	0.00	9.20	12.07	15.52	17.24	21.84	14.37	9.77	1
Fractals2019	0.00	4.65	4.65	18.60	23.26	6.98	25.58	16.28	0
AHUT-SC	0.00	10.21	14.47	17.87	19.57	17.45	12.77	7.66	2
Fractals2019	0.00	13.33	4.44	2.22	20.00	24.44	17.78	17.78	0
AHUT-SC	0.00	11.40	9.65	20.18	17.54	17.54	9.65	14.04	2
CYRUS2019	0.00	10.58	12.50	14.42	10.58	18.27	17.31	16.35	0
AHUT-SC	0.00	11.31	12.50	11.90	17.86	16.67	16.07	13.69	1
CYRUS2018	0.00	14.74	4.21	15.79	16.84	25.26	15.79	7.37	0
AHUT-SC	0.00	13.01	10.57	14.63	17.89	13.01	17.89	13.01	0
CYRUS2018	0.00	21.00	10.00	9.00	13.00	17.00	20.00	10.00	2
